Time,"Idle","Exceptions","Event Recorder"
2.785441,,,0xf00b,
2.785753,,,0xf00b,
2.795351,,,0xf010,
2.795441,,,0xf00b,
2.795753,,,0xf00b,
2.805351,,,0xf010,
2.805441,,,0xf00b,
2.805753,,,0xf00b,
2.815351,,,0xf010,
2.815441,,,0xf00b,
2.815753,,,0xf00b,
2.825351,,,0xf010,
2.825441,,,0xf00b,
2.825753,,,0xf00b,
2.835351,,,0xf010,
2.835441,,,0xf00b,
2.835753,,,0xf00b,
2.845351,,,0xf010,
2.845441,,,0xf00b,
2.845753,,,0xf00b,
2.855351,,,0xf010,
2.855441,,,0xf00b,
2.855753,,,0xf00b,
2.865351,,,0xf010,
2.865441,,,0xf00b,
2.865753,,,0xf00b,
2.875350,,,0xf010,
2.875440,,,0xf00b,
2.875751,,,0xf00b,
2.885350,,,0xf010,
2.885440,,,0xf00b,
2.885750,,,0xf00b,
2.895350,,,0xf010,
2.895440,,,0xf00b,
2.895751,,,0xf00b,
2.905350,,,0xf010,
2.905440,,,0xf00b,
2.905750,,,0xf00b,
2.915350,,,0xf010,
2.915440,,,0xf00b,
2.915751,,,0xf00b,
2.925350,,,0xf010,
2.925440,,,0xf00b,
2.925750,,,0xf00b,
2.935350,,,0xf010,
2.935440,,,0xf00b,
2.935751,,,0xf00b,
2.945350,,,0xf010,
2.945440,,,0xf00b,
2.945750,,,0xf00b,
2.955350,,,0xf010,
2.955440,,,0xf00b,
2.955751,,,0xf00b,
2.965350,,,0xf010,
2.965440,,,0xf00b,
2.965750,,,0xf00b,
2.975350,,,0xf010,
2.975440,,,0xf00b,
2.975751,,,0xf00b,
2.985350,,,0xf010,
2.985440,,,0xf00b,
2.985750,,,0xf00b,
2.995350,,,0xf010,
2.995440,,,0xf00b,
2.995755,,,0xf00b,
3.004350,,,0xf010,
3.004440,,,0xf00b,
3.004741,,,0xf00b,
3.005350,,,0xf010,
3.005485,,,0xf010,
3.005575,,,0xf00b,
3.005873,,,0xf00b,
3.006183,,,0xf00b,
3.015350,,,0xf010,
3.015440,,,0xf00b,
3.015751,,,0xf00b,
3.025350,,,0xf010,
3.025440,,,0xf00b,
3.025751,,,0xf00b,
3.035350,,,0xf010,
3.035440,,,0xf00b,
3.035751,,,0xf00b,
3.045350,,,0xf010,
3.045440,,,0xf00b,
3.045751,,,0xf00b,
3.055350,,,0xf010,
3.055440,,,0xf00b,
3.055751,,,0xf00b,
3.065350,,,0xf010,
3.065440,,,0xf00b,
3.065751,,,0xf00b,
3.075350,,,0xf010,
3.075440,,,0xf00b,
3.075751,,,0xf00b,
3.085350,,,0xf010,
3.085440,,,0xf00b,
3.085751,,,0xf00b,
3.095350,,,0xf010,
3.095440,,,0xf00b,
3.095751,,,0xf00b,
3.105350,,,0xf010,
3.105440,,,0xf00b,
3.105751,,,0xf00b,
3.115350,,,0xf010,
3.115440,,,0xf00b,
3.115751,,,0xf00b,
3.125350,,,0xf010,
3.125440,,,0xf00b,
3.125751,,,0xf00b,
3.135350,,,0xf010,
3.135440,,,0xf00b,
3.135751,,,0xf00b,
3.145350,,,0xf010,
3.145440,,,0xf00b,
3.145751,,,0xf00b,
3.155350,,,0xf010,
3.155440,,,0xf00b,
3.155751,,,0xf00b,
3.165350,,,0xf010,
3.165440,,,0xf00b,
3.165751,,,0xf00b,
3.175350,,,0xf010,
3.175440,,,0xf00b,
3.175751,,,0xf00b,
3.185350,,,0xf010,
3.185440,,,0xf00b,
3.185751,,,0xf00b,
3.195350,,,0xf010,
3.195440,,,0xf00b,
3.195751,,,0xf00b,
3.205350,,,0xf010,
3.205440,,,0xf00b,
3.205751,,,0xf00b,
3.215350,,,0xf010,
3.215440,,,0xf00b,
3.215751,,,0xf00b,
3.225350,,,0xf010,
3.225440,,,0xf00b,
3.225751,,,0xf00b,
3.235350,,,0xf010,
3.235440,,,0xf00b,
3.235751,,,0xf00b,
3.245350,,,0xf010,
3.245440,,,0xf00b,
3.245751,,,0xf00b,
3.255350,,,0xf010,
3.255440,,,0xf00b,
3.255751,,,0xf00b,
3.265350,,,0xf010,
3.265440,,,0xf00b,
3.265751,,,0xf00b,
3.275350,,,0xf010,
3.275440,,,0xf00b,
3.275751,,,0xf00b,
3.285350,,,0xf010,
3.285440,,,0xf00b,
3.285751,,,0xf00b,
3.295350,,,0xf010,
3.295440,,,0xf00b,
3.295751,,,0xf00b,
3.305350,,,0xf010,
3.305440,,,0xf00b,
3.305751,,,0xf00b,
